date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:10:21	20641/20641	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Dec%202021%2014:40:22%20GMT	http://slimhamdi.net/tunis/dark/about.html	C:/Users/hp/Desktop/web%20download/slimhamdi.net/tunis/dark/about.html	(from http://slimhamdi.net/tunis/dark/index.html)
20:10:22	29990/29990	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Dec%202021%2014:40:22%20GMT	http://slimhamdi.net/tunis/dark/portfolio.html	C:/Users/hp/Desktop/web%20download/slimhamdi.net/tunis/dark/portfolio.html	(from http://slimhamdi.net/tunis/dark/index.html)
20:10:22	11102/11102	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Dec%202021%2014:40:23%20GMT	http://slimhamdi.net/tunis/dark/contact.html	C:/Users/hp/Desktop/web%20download/slimhamdi.net/tunis/dark/contact.html	(from http://slimhamdi.net/tunis/dark/index.html)
20:10:23	15074/15074	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Dec%202021%2014:40:24%20GMT	http://slimhamdi.net/tunis/dark/blog.html	C:/Users/hp/Desktop/web%20download/slimhamdi.net/tunis/dark/blog.html	(from http://slimhamdi.net/tunis/dark/index.html)
20:10:24	17052/17052	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Mar%202021%2015:23:04%20GMT	http://slimhamdi.net/tunis/dark/img/img-mobile.jpg	C:/Users/hp/Desktop/web%20download/slimhamdi.net/tunis/dark/img/img-mobile.jpg	(from http://slimhamdi.net/tunis/dark/index.html)
20:10:24	5806/5806	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2015:23:10%20GMT	http://slimhamdi.net/tunis/dark/js/styleswitcher.js	C:/Users/hp/Desktop/web%20download/slimhamdi.net/tunis/dark/js/styleswitcher.js	(from http://slimhamdi.net/tunis/dark/index.html)
20:10:25	297/297	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2015:23:10%20GMT	http://slimhamdi.net/tunis/dark/js/preloader.min.js	C:/Users/hp/Desktop/web%20download/slimhamdi.net/tunis/dark/js/preloader.min.js	(from http://slimhamdi.net/tunis/dark/index.html)
20:10:25	89493/89493	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2015:23:09%20GMT	http://slimhamdi.net/tunis/dark/js/jquery-3.5.0.min.js	C:/Users/hp/Desktop/web%20download/slimhamdi.net/tunis/dark/js/jquery-3.5.0.min.js	(from http://slimhamdi.net/tunis/dark/index.html)
20:10:26	2419/2419	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2015:23:07%20GMT	http://slimhamdi.net/tunis/dark/js/fm.revealator.jquery.min.js	C:/Users/hp/Desktop/web%20download/slimhamdi.net/tunis/dark/js/fm.revealator.jquery.min.js	(from http://slimhamdi.net/tunis/dark/index.html)
20:10:26	6893/6893	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2015:23:08%20GMT	http://slimhamdi.net/tunis/dark/js/imagesloaded.pkgd.min.js	C:/Users/hp/Desktop/web%20download/slimhamdi.net/tunis/dark/js/imagesloaded.pkgd.min.js	(from http://slimhamdi.net/tunis/dark/index.html)
20:10:27	25081/25081	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2015:23:09%20GMT	http://slimhamdi.net/tunis/dark/js/masonry.pkgd.min.js	C:/Users/hp/Desktop/web%20download/slimhamdi.net/tunis/dark/js/masonry.pkgd.min.js	(from http://slimhamdi.net/tunis/dark/index.html)
